"StatID","TeamID","SeasonType","Season","Name","Team","Wins","Losses","OpponentPosition","Possessions","GlobalTeamID","Updated","Games","FantasyPoints","Minutes","Seconds","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","OffensiveReboundsPercentage","DefensiveReboundsPercentage","TotalReboundsPercentage","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlayerEfficiencyRating","AssistsPercentage","StealsPercentage","BlocksPercentage","TurnOversPercentage","UsageRatePercentage","FantasyPointsFanDuel","FantasyPointsDraftKings","FantasyPointsYahoo","PlusMinus","DoubleDoubles","TripleDoubles","FantasyPointsFantasyDraft","IsClosed","LineupConfirmed","LineupStatus","OpponentStat__StatID","OpponentStat__TeamID","OpponentStat__SeasonType","OpponentStat__Season","OpponentStat__Name","OpponentStat__Team","OpponentStat__Wins","OpponentStat__Losses","OpponentStat__OpponentPosition","OpponentStat__Possessions","OpponentStat__GlobalTeamID","OpponentStat__Updated","OpponentStat__Games","OpponentStat__FantasyPoints","OpponentStat__Minutes","OpponentStat__Seconds","OpponentStat__FieldGoalsMade","OpponentStat__FieldGoalsAttempted","OpponentStat__FieldGoalsPercentage","OpponentStat__EffectiveFieldGoalsPercentage","OpponentStat__TwoPointersMade","OpponentStat__TwoPointersAttempted","OpponentStat__TwoPointersPercentage","OpponentStat__ThreePointersMade","OpponentStat__ThreePointersAttempted","OpponentStat__ThreePointersPercentage","OpponentStat__FreeThrowsMade","OpponentStat__FreeThrowsAttempted","OpponentStat__FreeThrowsPercentage","OpponentStat__OffensiveRebounds","OpponentStat__DefensiveRebounds","OpponentStat__Rebounds","OpponentStat__OffensiveReboundsPercentage","OpponentStat__DefensiveReboundsPercentage","OpponentStat__TotalReboundsPercentage","OpponentStat__Assists","OpponentStat__Steals","OpponentStat__BlockedShots","OpponentStat__Turnovers","OpponentStat__PersonalFouls","OpponentStat__Points","OpponentStat__TrueShootingAttempts","OpponentStat__TrueShootingPercentage","OpponentStat__PlayerEfficiencyRating","OpponentStat__AssistsPercentage","OpponentStat__StealsPercentage","OpponentStat__BlocksPercentage","OpponentStat__TurnOversPercentage","OpponentStat__UsageRatePercentage","OpponentStat__FantasyPointsFanDuel","OpponentStat__FantasyPointsDraftKings","OpponentStat__FantasyPointsYahoo","OpponentStat__PlusMinus","OpponentStat__DoubleDoubles","OpponentStat__TripleDoubles","OpponentStat__FantasyPointsFantasyDraft","OpponentStat__IsClosed","OpponentStat__LineupConfirmed","OpponentStat__LineupStatus","OpponentStat__OpponentStat"
"576671","22","1","2019","Houston Rockets","HOU","53","29","null","11650.9","20000022","2019-06-24T22:18:51","82","25031.8","28754","0","4666.1","10386.4","65.1","78.6","2747.8","4990.9","79.9","1918.4","5395.4","51.6","2293.9","2901.4","114.7","1212.2","3788.8","5001.0","null","null","null","2524.4","1015.0","587.2","1505.1","2614.4","13544.4","11663.0","84.2","null","null","null","null","null","null","26634.0","27254.6","26634.0","2834.8","162.4","11.6","27254.6","False","null","Scrambled","576693","22","1","2019","Houston Rockets","HOU","29","53","null","11650.9","20000022","2019-06-24T22:18:51","82","24762.8","28754","6","4803.8","10303.7","67.6","76.1","3598.9","6759.9","77.1","1205.0","3543.8","49.3","2164.8","2818.8","111.4","1303.6","4096.2","5399.8","null","null","null","2798.5","880.2","535.0","1722.6","2378.0","12977.5","11544.0","81.5","null","null","null","null","null","null","26178.0","26690.2","26178.0","-2834.8","123.2","8.4","26690.2","False","null","Scrambled","null"
"576664","13","1","2019","Indiana Pacers","IND","48","34","null","11615.0","20000013","2019-06-24T22:18:51","82","25268.6","28588","58","4915.5","10345.8","68.9","76.8","3786.0","7328.3","75.0","1129.6","3017.4","54.2","1882.1","2504.2","109.0","1104.9","4010.7","5115.6","null","null","null","3085.6","1033.8","585.8","1580.5","2311.3","12842.6","11447.6","81.3","null","null","null","null","null","null","26888.2","27036.0","26888.2","1986.5","104.4","0.0","27036.0","False","null","Scrambled","576686","13","1","2019","Indiana Pacers","IND","34","48","null","11615.0","20000013","2019-06-24T22:18:51","82","24261.4","28572","77","4606.6","10235.6","65.2","74.8","3255.2","6417.7","73.5","1351.4","3817.8","51.3","1882.1","2491.1","109.6","1249.9","3941.1","5191.0","null","null","null","2908.7","881.6","616.2","1773.4","2380.9","12446.8","11331.6","79.6","null","null","null","null","null","null","25759.2","26259.5","25759.2","-1970.6","111.6","8.4","26259.5","False","null","Scrambled","null"
"576675","28","1","2019","Los Angeles Clippers","LAC","48","34","null","12111.6","20000028","2019-06-24T22:18:51","82","25568.4","28754","58","4906.8","10408.1","68.3","76.7","3716.4","7337.0","73.5","1190.4","3071.1","56.3","2686.8","3393.0","114.8","1154.2","4257.2","5411.4","null","null","null","2856.5","812.0","558.2","1641.4","2773.8","13690.9","11901.0","83.4","null","null","null","null","null","null","26938.7","27385.4","26938.7","501.7","85.6","2.1","27385.4","False","null","Scrambled","576697","28","1","2019","Los Angeles Clippers","LAC","34","48","null","12111.6","20000028","2019-06-24T22:18:51","82","26313.4","28754","0","4963.4","10862.0","66.3","74.5","3732.3","7270.3","74.4","1231.0","3591.6","49.7","2431.6","3130.6","112.7","1341.2","4097.7","5439.0","null","null","null","2865.2","981.6","722.1","1508.0","2855.0","13589.4","12239.4","80.5","null","null","null","null","null","null","28017.2","28146.3","28017.2","-507.5","121.8","8.4","28146.3","False","null","Scrambled","null"
"577257","27","1","2019","Los Angeles Lakers","LAL","37","45","null","12254.0","20000027","2019-06-24T22:18:51","82","25756.4","28681","0","5062.0","10766.2","68.2","76.4","3833.8","7081.8","78.4","1228.2","3684.4","48.3","1937.2","2769.5","101.4","1210.8","4328.2","5539.0","null","null","null","3039.2","896.1","638.0","1806.7","2466.4","13289.2","11984.8","80.3","null","null","null","null","null","null","27290.4","27763.9","27290.4","-1022.2","127.6","14.5","27763.9","False","null","Scrambled","577261","27","1","2019","Los Angeles Lakers","LAL","45","37","null","12254.0","20000027","2019-06-24T22:18:51","82","26244.9","28733","61","4985.1","11034.5","65.5","74.8","3577.2","6997.7","74.1","1408.0","4036.8","50.6","2115.6","2699.9","113.7","1339.8","4231.1","5570.9","null","null","null","2976.8","990.4","610.4","1600.8","2473.7","13493.7","12222.5","80.0","null","null","null","null","null","null","27845.7","28234.4","27845.7","1022.2","133.4","6.3","28234.4","False","null","Scrambled","null"
"576670","21","1","2019","Memphis Grizzlies","MEM","33","49","null","11509.5","20000021","2019-06-24T22:18:51","82","24258.1","28826","41","4513.8","10039.8","65.2","73.7","3337.9","6606.2","73.2","1176.0","3433.6","49.6","2106.8","2728.9","111.9","1048.4","3919.4","4967.7","null","null","null","2846.4","991.8","649.6","1566.0","2611.4","12310.5","11240.5","79.5","null","null","null","null","null","null","25899.5","26025.3","25899.5","-1541.4","91.4","10.5","26025.3","False","null","Scrambled","576692","21","1","2019","Memphis Grizzlies","MEM","49","33","null","11509.5","20000021","2019-06-24T22:18:51","82","24422.1","28875","23","4470.4","9912.2","65.4","75.4","3091.4","6085.6","73.7","1379.0","3826.6","52.2","2299.7","2933.4","113.7","1132.4","4180.4","5312.8","null","null","null","2784.0","906.2","582.9","1727.0","2549.1","12619.4","11202.9","81.6","null","null","null","null","null","null","25911.2","26419.0","25911.2","1544.2","111.6","10.5","26419.0","False","null","Scrambled","null"
"576658","4","1","2019","Miami Heat","MIA","39","43","null","11632.2","20000004","2019-06-24T22:18:51","82","24953.8","28608","16","4714.0","10466.1","65.2","74.7","3368.4","6612.0","73.8","1345.6","3854.1","50.6","1795.1","2583.9","100.8","1335.4","4174.6","5510.0","null","null","null","2887.0","909.2","649.6","1674.8","2482.4","12568.6","11603.0","78.6","null","null","null","null","null","null","26512.5","26893.9","26512.5","-134.8","100.0","4.2","26893.9","False","null","Scrambled","576680","4","1","2019","Miami Heat","MIA","43","39","null","11632.2","20000004","2019-06-24T22:18:51","82","24361.6","28608","0","4554.4","10318.2","63.9","74.0","3143.6","6378.6","71.5","1410.8","3939.6","51.9","2076.4","2698.4","111.5","1206.4","4047.0","5253.4","null","null","null","2773.8","887.4","564.0","1602.2","2395.4","12596.2","11505.5","79.3","null","null","null","null","null","null","25813.0","26285.2","25813.0","137.8","97.2","8.4","26285.2","False","null","Scrambled","null"
"576666","15","1","2019","Milwaukee Bucks","MIL","60","22","null","12285.8","20000015","2019-06-24T22:18:51","82","27403.0","28682","75","5154.8","10833.0","69.0","79.8","3552.5","6288.6","81.9","1602.2","4544.3","51.2","2133.0","2760.8","112.1","1104.9","4808.2","5913.1","null","null","null","3097.2","891.8","704.7","1576.2","2331.6","14044.7","12047.7","84.5","null","null","null","null","null","null","28999.4","29477.0","28999.4","5262.0","117.4","12.6","29477.0","False","null","Scrambled","576688","15","1","2019","Milwaukee Bucks","MIL","22","60","null","12285.8","20000015","2019-06-24T22:18:51","82","25082.8","28681","42","4816.9","11120.0","62.8","72.9","3261.0","6804.8","69.5","1555.8","4315.2","52.3","1800.9","2456.3","106.3","1178.8","4207.9","5386.8","null","null","null","2945.0","806.2","572.8","1547.2","2396.8","12990.6","12200.8","77.1","null","null","null","null","null","null","26461.8","27066.8","26461.8","-5267.8","97.2","11.6","27066.8","False","null","Scrambled","null"
"576667","16","1","2019","Minnesota Timberwolves","MIN","36","46","null","11939.6","20000016","2019-06-24T22:18:51","82","25832.6","28813","64","4948.8","10850.4","66.1","74.1","3749.7","7432.7","73.1","1199.2","3417.6","50.9","2276.5","2892.8","114.1","1338.4","3987.5","5325.8","null","null","null","2926.1","990.4","596.0","1493.5","2412.8","13373.4","12123.2","80.0","null","null","null","null","null","null","27418.9","27651.9","27418.9","-891.8","137.8","0.0","27651.9","False","null","Scrambled","576689","16","1","2019","Minnesota Timberwolves","MIN","46","36","null","11939.6","20000016","2019-06-24T22:18:51","82","25916.0","28754","16","5005.4","10709.7","67.7","78.0","3496.0","6719.3","75.4","1509.4","3990.4","54.8","2031.4","2649.2","111.2","1335.4","4091.9","5427.4","null","null","null","3110.2","781.6","659.8","1696.5","2602.8","13551.7","11875.3","82.8","null","null","null","null","null","null","27357.3","27986.1","27357.3","894.6","124.7","8.4","27986.1","False","null","Scrambled","null"
"576672","23","1","2019","New Orleans Pelicans","NO","33","49","null","12276.8","20000023","2019-06-24T22:18:51","82","26618.5","28649","48","5192.4","10967.8","68.6","76.7","3971.6","7416.8","77.6","1220.9","3551.0","49.9","2119.9","2785.4","110.3","1318.0","4305.0","5623.1","null","null","null","3213.2","884.5","639.4","1722.6","2512.8","13725.7","12193.4","81.6","null","null","null","null","null","null","28142.5","28665.0","28142.5","-785.9","185.6","10.2","28665.0","False","null","Scrambled","576694","23","1","2019","New Orleans Pelicans","NO","49","33","null","12276.8","20000023","2019-06-24T22:18:51","82","26915.8","28646","77","5146.0","11034.5","67.6","77.1","3687.4","7023.8","76.1","1458.7","4010.7","52.8","2133.0","2792.7","110.8","1302.1","4139.8","5441.8","null","null","null","3152.3","1017.9","645.2","1553.0","2496.9","13883.8","12263.3","82.1","null","null","null","null","null","null","28578.9","28904.7","28578.9","787.4","132.0","12.6","28904.7","False","null","Scrambled","null"
"576660","6","1","2019","New York Knicks","NY","17","65","null","11834.0","20000006","2019-06-24T22:18:51","82","23643.1","28681","4","4544.3","10499.4","62.8","71.0","3351.0","6989.0","69.5","1193.4","3510.4","49.3","2153.2","2839.1","109.9","1242.6","4076.0","5318.6","null","null","null","2386.7","807.6","611.9","1593.6","2483.8","12435.2","11748.7","76.7","null","null","null","null","null","null","25062.7","25476.5","25062.7","-5473.8","114.6","2.1","25476.5","False","null","Scrambled","576682","6","1","2019","New York Knicks","NY","65","17","null","11834.0","20000006","2019-06-24T22:18:51","82","26448.6","28680","84","4979.3","10660.4","67.7","77.3","3574.2","6784.6","76.4","1405.0","3875.8","52.6","2163.4","2821.7","111.2","1277.4","4373.2","5650.6","null","null","null","3042.1","880.2","664.1","1510.9","2476.6","13527.0","11901.9","82.4","null","null","null","null","null","null","27992.8","28376.1","27992.8","5473.8","120.4","6.3","28376.1","False","null","Scrambled","null"
"575728","18","1","2019","Oklahoma City Thunder","OKC","49","33","null","12273.9","20000018","2019-06-24T22:18:51","82","26471.1","28790","35","5070.6","11173.7","65.8","74.5","3719.2","7292.0","74.0","1351.4","3881.6","50.5","2118.4","2971.0","103.4","1495.0","4221.0","5715.9","null","null","null","2779.6","1110.7","616.2","1622.6","2666.6","13611.2","12481.0","79.0","null","null","null","null","null","null","28198.0","28581.0","28198.0","2022.8","174.0","50.8","28581.0","False","null","Scrambled","575732","18","1","2019","Oklahoma City Thunder","OKC","33","49","null","12273.9","20000018","2019-06-24T22:18:51","82","25412.6","28817","45","4847.4","10544.4","66.7","75.8","3510.4","6786.0","75.0","1336.9","3758.4","51.6","2175.0","2858.0","110.3","1176.0","4257.2","5433.2","null","null","null","2956.6","974.4","601.8","1901.0","2673.8","13206.6","11801.9","81.2","null","null","null","null","null","null","26988.7","27470.6","26988.7","-2028.6","110.2","2.1","27470.6","False","null","Scrambled","null"
"576659","5","1","2019","Orlando Magic","ORL","42","40","null","11660.1","20000005","2019-06-24T22:18:51","82","25159.4","28745","16","4808.2","10595.2","65.8","75.1","3449.6","6777.3","73.8","1358.6","3817.8","51.6","1785.0","2283.8","113.4","1191.9","4207.9","5399.8","null","null","null","3037.8","787.4","645.2","1502.2","2212.7","12760.0","11600.0","79.8","null","null","null","null","null","null","26592.0","27055.6","26592.0","419.0","129.0","2.1","27055.6","False","null","Scrambled","576681","5","1","2019","Orlando Magic","ORL","40","42","null","11660.1","20000005","2019-06-24T22:18:51","82","24392.2","28678","32","4747.3","10418.2","66.1","74.7","3503.2","6829.5","74.4","1244.1","3588.8","50.3","1937.2","2489.6","112.8","1071.6","4236.9","5308.4","null","null","null","2743.4","833.8","524.9","1486.2","2228.6","12675.9","11513.7","79.8","null","null","null","null","null","null","25750.8","26168.5","25750.8","-419.0","92.8","6.3","26168.5","False","null","Scrambled","null"
"575726","7","1","2019","Philadelphia 76ers","PHI","51","31","null","12105.7","20000007","2019-06-24T22:18:51","82","26601.6","28717","45","4940.2","10487.8","68.3","77.3","3651.1","6900.6","76.7","1289.0","3587.3","52.1","2525.9","3274.1","111.8","1293.4","4386.2","5679.6","null","null","null","3200.2","878.7","626.4","1719.7","2530.2","13695.2","11928.5","83.2","null","null","null","null","null","null","28106.7","28664.0","28106.7","1602.2","165.3","17.4","28664.0","False","null","Scrambled","575730","7","1","2019","Philadelphia 76ers","PHI","31","51","null","12105.7","20000007","2019-06-24T22:18:51","82","25104.9","28722","83","4956.1","10883.7","66.0","74.2","3733.8","7310.9","74.1","1222.4","3572.8","49.6","2240.2","2916.0","111.4","1193.4","3977.4","5170.7","null","null","null","2779.6","919.3","487.2","1457.2","2633.2","13374.8","12166.7","79.8","null","null","null","null","null","null","26511.4","26846.8","26511.4","-1596.4","88.4","10.5","26846.8","False","null","Scrambled","null"
